scenario,mlp_coordinate,mlp_joint,mlp_multitask
bias5_only,1.0365376399335382,0.025202512741088867,0.026102610261026116
clean,0.9708591895760659,0.014401435852050781,0.014401440144014344
drop0.15_bias6_noise0,2.1407078092003786,0.04950493574142456,0.04050405040504057
drop0.25_bias3_noise1,3.396037411535014,0.07110714912414551,0.07200720072007194
drop0.35_bias4_noise2,5.358545196049661,0.11071109771728516,0.13681368136813676
drop0.40_bias5_noise3,6.910099768907054,0.11881190538406372,0.1314131413141314
dropout_0.05,1.2858307534633138,0.019801974296569824,0.01890189018901889
dropout_0.10,2.0143846273199344,0.04680466651916504,0.03960396039603964
dropout_0.15,2.4546708566463646,0.06840682029724121,0.056705670567056665
dropout_0.20,3.0949682769313043,0.05940592288970947,0.0675067506750675
dropout_0.25,3.650064820036558,0.04950493574142456,0.057605760576057596
dropout_0.30,4.126369010589885,0.0783078670501709,0.08820882088208815
dropout_0.35,5.569453273398537,0.09450948238372803,0.10981098109810972
dropout_0.40,7.6871823593585145,0.13951396942138672,0.14851485148514842
dropout_0.45,10.395325506719962,0.1341133713722229,0.14581458145814585
dropout_0.50,12.833875988111004,0.15391534566879272,0.1638163816381638
dropout_0.60,17.222066285606047,0.1611161231994629,0.19351935193519354
noise3_only,0.9396552920056571,0.009900987148284912,0.011701170117011661
